filepath,filename,file_size_mb,nrows,ncols,nlayers,resolution_x,resolution_y,crs_epsg,extent_xmin,extent_xmax,extent_ymin,extent_ymax,datatype,success,error,data_type,wri_domain,wri_layer_type,cog_filename,passes_assumptions,assumption_error
data/communities/indicators/communities_resistance_firewise_communities.tif,communities_resistance_firewise_communities.tif,123,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,communities,resistance,communities_resistance_firewise_communities.tif,TRUE,NA
data/communities/indicators/communities_resistance_no_vehicle.tif,communities_resistance_no_vehicle.tif,165,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,communities,resistance,communities_resistance_no_vehicle.tif,TRUE,NA
data/communities/indicators/communities_resistance_volunteer_fire_stations.tif,communities_resistance_volunteer_fire_stations.tif,156,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,communities,resistance,communities_resistance_volunteer_fire_stations.tif,TRUE,NA
data/infrastructure/indicators/infrastructure_resistance_building_codes.tif,infrastructure_resistance_building_codes.tif,130,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,infrastructure,resistance,infrastructure_resistance_building_codes.tif,TRUE,NA
data/infrastructure/indicators/infrastructure_resistance_d_space.tif,infrastructure_resistance_d_space.tif,115,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,infrastructure,resistance,infrastructure_resistance_d_space.tif,TRUE,NA
data/infrastructure/indicators/infrastructure_resistance_egress.tif,infrastructure_resistance_egress.tif,130,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,infrastructure,resistance,infrastructure_resistance_egress.tif,TRUE,NA
data/infrastructure/indicators/infrastructure_resistance_fire_resource_density.tif,infrastructure_resistance_fire_resource_density.tif,444,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,infrastructure,resistance,infrastructure_resistance_fire_resource_density.tif,TRUE,NA
data/infrastructure/indicators/infrastructure_resistance_wildland_urban_interface.tif,infrastructure_resistance_wildland_urban_interface.tif,135,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,infrastructure,resistance,infrastructure_resistance_wildland_urban_interface.tif,TRUE,NA
data/infrastructure/indicators/infrastructure_resistance_wildland_urban_interface_test.tif,infrastructure_resistance_wildland_urban_interface_test.tif,134,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,infrastructure,resistance,infrastructure_resistance_wildland_urban_interface_test.tif,TRUE,NA
data/infrastructure/infrastructure_domain_score.tif,infrastructure_domain_score.tif,402,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,infrastructure,domain_score,infrastructure_domain_score.tif,TRUE,NA
